iter	Passed	Remaining
0	161	161221
1	166	83215
2	171	56843
3	176	43961
4	181	36132
5	186	30857
6	191	27112
7	196	24308
8	200	22097
9	205	20363
10	210	18907
11	215	17753
12	220	16722
13	224	15831
14	229	15088
15	234	14405
16	239	13839
17	243	13307
18	248	12832
19	253	12399
20	257	11998
21	262	11662
22	267	11350
23	271	11043
24	275	10759
25	281	10532
26	285	10285
27	289	10054
28	294	9855
29	298	9662
30	303	9477
31	307	9297
32	312	9166
33	317	9019
34	321	8871
35	326	8739
36	330	8613
37	335	8485
38	339	8361
39	344	8272
40	348	8162
41	353	8056
42	357	7967
43	362	7872
44	366	7781
45	370	7691
46	376	7625
47	380	7547
48	384	7467
49	389	7397
50	393	7331
51	398	7261
52	402	7197
53	407	7138
54	411	7074
55	415	7012
56	420	6957
57	425	6906
58	430	6860
59	434	6811
60	439	6758
61	443	6711
62	448	6671
63	452	6622
64	457	6581
65	462	6540
66	466	6495
67	470	6451
68	475	6414
69	479	6374
70	484	6334
71	488	6296
72	493	6268
73	498	6232
74	502	6193
75	506	6163
76	511	6131
77	515	6097
78	520	6065
79	524	6036
80	529	6004
81	533	5970
82	537	5943
83	542	5916
84	546	5885
85	550	5855
86	556	5838
87	560	5812
88	565	5784
89	569	5761
90	574	5733
91	578	5707
92	582	5682
93	587	5666
94	592	5644
95	596	5619
96	601	5598
97	605	5577
98	610	5553
99	614	5529
100	619	5514
101	623	5491
102	628	5469
103	632	5448
104	637	5430
105	641	5410
106	645	5389
107	650	5374
108	655	5355
109	659	5335
110	664	5319
111	668	5303
112	673	5285
113	678	5269
114	683	5258
115	687	5240
116	692	5227
117	697	5211
118	701	5194
119	706	5178
120	710	5160
121	715	5146
122	719	5128
123	723	5113
124	728	5096
125	732	5082
126	737	5067
127	741	5052
128	746	5038
129	750	5024
130	755	5008
131	759	4993
132	764	4981
133	768	4969
134	773	4953
135	777	4938
136	782	4927
137	786	4912
138	790	4896
139	795	4884
140	800	4876
141	804	4862
142	809	4848
143	814	4839
144	818	4824
145	822	4810
146	827	4801
147	831	4788
148	836	4774
149	840	4761
150	845	4754
151	849	4741
152	854	4727
153	858	4716
154	863	4705
155	867	4692
156	871	4681
157	876	4672
158	880	4659
159	885	4646
160	889	4635
161	894	4628
162	899	4617
163	903	4606
164	908	4595
165	912	4584
166	916	4572
167	921	4563
168	926	4556
169	931	4548
170	937	4543
171	942	4535
172	947	4527
173	951	4517
174	955	4505
175	960	4496
176	965	4488
177	969	4477
178	974	4468
179	978	4456
180	983	4448
181	987	4437
182	992	4429
183	997	4422
184	1002	4417
185	1007	4410
186	1012	4403
187	1017	4393
188	1021	4382
189	1025	4373
190	1030	4365
191	1034	4355
192	1039	4347
193	1043	4337
